city,area,rooms,bathroom,parking_spaces,floor,animal_allowance,furniture,association_tax,rent_amount,property_tax,fire_insurance,total_rent
Bangalore,Banaswadi,2,3,2,1,acept,not furnished,8400,42000,1626,534,52560
Chennai,Kottivakkam,2,2,1,2,not acept,furnished,1608,6810,228,87,8733
Chennai,Gerugambakkam,3,2,1,6,acept,not furnished,1635,3822,261,51,5769
Bangalore,Jalahalli East,4,7,8,-,acept,furnished,0,45000,5001,678,50670
Chennai,Madhavaram,1,1,1,13,acept,not furnished,1482,1950,102,27,3561
Bangalore,Sarjapur  Road,1,1,0,3,acept,not furnished,750,6000,0,78,6828
Chennai,Kolathur,4,3,1,4,acept,not furnished,2250,6720,51,87,9108
Bangalore,Doopanahalli,4,2,3,2,acept,furnished,3300,16500,1227,210,21237
Bangalore,Subramanyapura,2,3,2,32,not acept,furnished,2550,25500,1350,324,29724
Bangalore,Begur,3,4,3,10,acept,not furnished,8700,42000,2751,534,54000
Chennai,Sriperumbudur,3,2,3,10,acept,furnished,4200,7500,753,96,12549
Bangalore,Kanakpura Road,3,1,0,1,not acept,not furnished,1695,5850,327,75,7947
Bangalore,Sarjapur,1,1,0,-,acept,furnished,1806,5400,390,69,7665
Bangalore,LB Shastri Nagar,4,5,2,-,acept,not furnished,0,11400,2193,174,13767
Bangalore,Neeladri Nagar,3,4,4,9,acept,furnished,4950,15000,375,192,20517
Bangalore,Talaghattapura,3,3,2,7,not acept,not furnished,4500,41400,1125,525,47550
Bangalore,Murugeshpalya,4,4,4,7,acept,not furnished,10098,27000,5400,345,42840
Bangalore,Ramagondanahalli,3,1,2,7,acept,furnished,4050,6990,450,90,11580
Chennai,Kodambakkam,4,4,8,-,acept,not furnished,0,9600,432,147,10179
Bangalore,1st Block Jayanagar,3,2,1,2,acept,not furnished,4350,15900,0,204,20454
Bangalore,Chandapura,2,1,0,-,acept,not furnished,0,4500,252,69,4821
Bangalore,Kaval Byrasandra,2,3,2,-,acept,not furnished,0,12000,1131,183,13314
Bangalore,JP Nagar,4,5,4,6,not acept,not furnished,7500,9600,2250,123,19473
Bangalore,Yelenahalli,3,4,3,-,acept,furnished,0,44100,3852,663,48630
Bangalore,Hosur Road,3,2,2,12,not acept,not furnished,2874,12900,540,165,16479
Bangalore,Ramagondanahalli,1,1,1,12,acept,furnished,1722,11550,675,147,14094
Bangalore,Thanisandra,3,4,2,3,acept,not furnished,13425,29400,2460,375,45660
Bangalore,Whitefield,2,1,1,2,not acept,not furnished,1800,3450,150,45,5445
Bangalore,Akshaya Nagar,3,3,2,1,acept,not furnished,10740,33000,3252,420,47400
Bangalore,Bellandur,2,2,0,2,not acept,not furnished,0,8280,0,105,8385
Bangalore,Indira Nagar,2,2,1,7,acept,not furnished,3300,10500,300,135,14235
Bangalore,Sarjapur  Road,1,2,0,2,acept,not furnished,1350,6105,333,78,7866
Bangalore,Yelahanka,1,1,1,4,acept,furnished,2745,15000,345,108,18198
Bangalore,Judicial Layout,3,3,1,12,acept,not furnished,6429,17400,1113,222,25164
Bangalore,2nd Stage Nagarbhavi,3,2,4,-,not acept,not furnished,1800,10500,951,159,13410
Bangalore,Kanakpura Road,3,1,1,4,acept,not furnished,1500,4440,0,57,5997
Bangalore,Sathya Sai Layout,3,4,3,8,acept,not furnished,9600,13500,2382,174,25656
Bangalore,Whitefield,1,1,1,17,not acept,furnished,2250,15000,0,192,17442
Bangalore,Whitefield,2,1,1,1,not acept,not furnished,2295,7950,75,102,10422
Bangalore,Yelahanka,1,1,0,2,acept,not furnished,3600,9000,675,117,13392
Bangalore,Hebbal,3,4,2,-,acept,not furnished,0,18000,225,273,18498
Bangalore,Jakkur,3,3,2,5,acept,not furnished,5400,9780,876,126,16182
Bangalore,Akshaya Nagar,4,5,6,8,acept,furnished,9450,14700,5211,189,29550
Bangalore,Vidyaranyapura,4,3,0,9,acept,not furnished,13200,30000,3252,381,46830
Bangalore,Harlur,3,2,0,7,acept,furnished,5151,19500,1332,249,26232
Bangalore,Yelahanka,1,1,0,1,not acept,not furnished,1800,3900,333,51,6084
Bangalore,Bellandur,3,3,2,7,acept,not furnished,9000,21000,876,267,31140
Bangalore,Attibele,2,3,2,26,acept,not furnished,1350,9600,120,123,11193
Bangalore,Thanisandra,3,2,3,-,acept,furnished,0,18000,627,273,18900
Bangalore,Seetharampalya,4,6,5,-,acept,furnished,0,38250,7839,576,46680
Bangalore,Electronics City Phase 1,2,3,0,-,acept,not furnished,0,12900,372,195,13467
Bangalore,Pattanagere,4,3,3,-,acept,not furnished,42390,19200,3642,246,65460
Bangalore,Sarjapur,1,1,0,-,acept,furnished,1806,5400,390,69,7665
Bangalore,Hennur Road,1,2,2,13,not acept,furnished,4500,24000,1500,306,30300
Bangalore,Uttarahalli,3,1,1,1,acept,not furnished,1860,5250,0,69,7179
Bangalore,Jigani,4,4,3,-,acept,not furnished,0,27000,0,408,27408
Bangalore,Kalena Agrahara,1,1,0,1,acept,not furnished,2154,4329,0,15,6498
Bangalore,Rajaji Nagar,3,2,2,-,acept,not furnished,0,10200,897,156,11253
Bangalore,Haralur Road,3,5,2,14,acept,not furnished,4269,9306,1356,120,15051
Bangalore,Yelahanka,1,1,0,-,not acept,not furnished,540,2550,123,39,3252
Bangalore,Ambalipura,3,3,2,7,not acept,not furnished,4410,16800,990,213,22413
Bangalore,Ambedkar Nagar,2,1,0,5,acept,not furnished,0,3600,0,48,3648
Bangalore,Begur Road,3,3,5,-,acept,not furnished,0,22500,0,339,22839
Chennai,Ambattur,3,3,2,-,acept,not furnished,1680,9600,264,147,11691
Bangalore,Old Airport Road,2,1,1,11,not acept,not furnished,3315,11400,465,147,15327
Bangalore,Balagere,4,3,6,-,acept,not furnished,0,35700,3252,537,39480
Bangalore,Rajaji Nagar,3,2,2,5,acept,not furnished,4200,15000,1752,192,21144
Bangalore,Amruthnagar,4,5,6,-,acept,furnished,7011,44550,6336,672,58560
Bangalore,7th Phase JP Nagar,2,1,1,11,not acept,not furnished,1371,5160,273,66,6870
Bangalore,Raja Rajeshwari Nagar,1,1,0,-,acept,not furnished,0,3300,90,42,3432
Bangalore,Hennur,1,1,1,7,acept,furnished,5190,18600,0,237,24027
Bangalore,Whitefield,1,1,0,-,not acept,not furnished,0,2250,0,36,2286
Bangalore,KR Puram,2,1,1,3,acept,not furnished,1200,3261,0,42,4503
Bangalore,Koramangala,1,1,1,2,not acept,not furnished,2601,6900,399,90,9990
Chennai,Sriperumbudur,2,2,1,8,acept,furnished,2700,6000,786,78,9564
Chennai,Padur,3,2,1,1,acept,not furnished,1950,3900,225,51,6126
Bangalore,Lakshminarayana Pura,2,2,2,5,acept,not furnished,2559,5700,630,75,8964
Bangalore,5th Phase JP Nagar,1,1,0,11,not acept,not furnished,1110,8400,222,108,9840
Bangalore,Hebbal Kempapura,2,1,1,4,not acept,furnished,2955,16500,330,210,19995
Bangalore,Thigalarapalya,3,4,4,2,not acept,not furnished,5970,19125,1875,243,27213
Bangalore,Hosa Road,1,1,0,23,acept,not furnished,1296,6600,135,84,8115
Bangalore,Electronic City,3,2,0,7,acept,not furnished,2250,6060,396,78,8784
Bangalore,Nagarbhavi,3,4,2,-,acept,not furnished,0,22827,2628,345,25800
Bangalore,Koramangala,2,1,1,3,acept,not furnished,1410,5100,0,66,6576
Bangalore,Old Madras Road,4,6,3,-,acept,not furnished,0,15000,2007,228,17235
Bangalore,Horamavu Agara,2,1,1,11,acept,furnished,1590,7500,0,96,9186
Chennai,Velachery,1,1,0,3,acept,not furnished,1236,2580,198,33,4047
Chennai,Maraimalai Nagar,3,1,1,8,not acept,not furnished,1452,3300,189,42,4983
Bangalore,Thanisandra,4,4,3,6,not acept,not furnished,4200,27000,3000,345,34560
Bangalore,Kadubeesanahalli,4,5,3,-,acept,furnished,0,27000,2550,408,29958
Bangalore,Old Airport Road,3,2,2,10,acept,furnished,1650,8700,570,111,11031
Chennai,Gowrivakkam,3,4,4,-,acept,not furnished,0,9510,84,144,9738
Bangalore,Bommanahalli,3,1,1,8,not acept,not furnished,2127,4500,321,60,7008
Bangalore,Kammanahalli,3,3,1,2,acept,not furnished,2910,7500,1050,96,11556
Bangalore,Uttarahalli,3,3,2,20,acept,not furnished,1800,13350,726,171,16047
Bangalore,Sarjapur  Road,3,1,1,14,not acept,not furnished,1284,5400,126,69,6879
Bangalore,Marathahalli,4,3,4,9,acept,not furnished,14700,18000,4500,231,37440
Bangalore,Marathahalli,3,4,2,9,acept,furnished,6000,42000,3252,534,51780
Bangalore,Poorna Pragna Layout,5,4,6,-,acept,furnished,0,36000,1377,543,37920
Chennai,Avadi,1,1,1,4,acept,furnished,1470,4500,126,60,6156
Bangalore,Anandapura,4,5,2,-,acept,furnished,0,18000,6924,273,25197
Chennai,Thiruverkadu,6,5,8,-,acept,not furnished,0,24000,1875,363,26238
Bangalore,Sanjay nagar,1,1,1,6,not acept,furnished,1950,5700,177,75,7902
Bangalore,1st Block HRBR Layout,4,6,4,1,acept,not furnished,24399,45000,13560,573,83520
Chennai,Pallavaram,2,1,1,5,acept,not furnished,750,3270,30,42,4092
Bangalore,Raja Rajeshwari Nagar,1,1,0,12,not acept,furnished,4200,7785,0,99,12084
Bangalore,Singasandra,2,1,0,16,acept,not furnished,810,3600,0,48,4458
Bangalore,Thigalarapalya,4,4,3,3,acept,not furnished,6810,14025,3330,180,24345
Chennai,Perumbakkam,2,1,2,6,acept,not furnished,900,3600,138,48,4686
Bangalore,Basaveshwara Nagar,3,3,6,-,acept,furnished,0,12600,750,192,13542
Bangalore,Kengeri Satellite Town,1,1,1,12,acept,furnished,1800,8400,297,108,10605
Bangalore,Basavangudi,1,2,2,25,not acept,furnished,2400,16500,597,210,19707
Bangalore,Iblur Village,3,3,2,1,acept,not furnished,2250,7299,0,93,10779
Bangalore,KR Puram,2,1,2,4,not acept,not furnished,2340,2940,426,39,5745
Chennai,Perambur,2,1,1,-,not acept,not furnished,1056,5250,270,69,6645
Bangalore,KR Puram,2,1,1,1,acept,not furnished,1047,4350,0,57,5454
Bangalore,Devanahalli,2,2,1,19,acept,furnished,3000,33000,399,420,36810
Chennai,Thiruvanmiyur,2,1,0,1,acept,not furnished,840,2127,66,27,3060
Chennai,Porur,2,1,2,1,acept,not furnished,705,4200,75,54,5034
Bangalore,Ejipura,4,6,2,7,acept,not furnished,9000,21600,3000,327,33930
Bangalore,Uttarahalli,2,2,1,3,acept,not furnished,2100,6600,0,84,8784
Bangalore,Ramamurthy Nagar,1,1,1,-,not acept,not furnished,0,4563,489,69,5121
Bangalore,Kaggadasapura,1,1,1,5,acept,not furnished,1380,6900,285,90,8655
Bangalore, Devarachikkanahalli,4,4,4,3,acept,not furnished,5700,14700,2001,189,22590
Bangalore,Uttarahalli,3,1,0,-,acept,not furnished,0,7200,180,111,7491
Bangalore,Kumaraswami Layout,4,3,4,1,acept,furnished,3399,21000,0,267,24666
Bangalore,Nagarbhavi,4,2,2,3,acept,not furnished,5145,18000,1782,231,25158
Bangalore,Uttarahalli,2,1,0,-,acept,not furnished,0,4200,495,66,4761
Chennai,Nanmangalam,3,3,2,3,acept,not furnished,2100,11100,351,141,13692
Bangalore,Mysore Road,2,1,1,12,acept,not furnished,1200,4020,0,51,5271
Bangalore,Vasanthapura,3,3,1,8,not acept,furnished,2370,11250,405,144,14169
Bangalore,Yelahanka,1,1,0,3,acept,furnished,1050,5100,120,66,6336
Chennai,East Tambaram,3,2,1,1,acept,not furnished,2181,3699,252,48,6180
Bangalore,Hegde Nagar,1,2,1,10,acept,furnished,5505,12750,501,162,18918
Bangalore,Iblur Village,2,3,0,9,acept,not furnished,5100,3900,918,51,9969
Bangalore,Budigere,2,2,1,7,acept,not furnished,2250,5640,567,72,8529
Bangalore,Devanahalli,2,2,1,20,acept,not furnished,2352,13500,408,174,16434
Bangalore,JP Nagar,3,3,4,-,acept,not furnished,0,19560,2502,297,22359
Bangalore,Lingadheeranahalli,3,2,2,8,acept,not furnished,3078,5250,729,69,9126
Bangalore,Ramamurthy Nagar,2,2,1,1,acept,not furnished,2100,9480,495,123,12198
Chennai,Alandur,3,2,1,4,acept,not furnished,4500,5400,750,69,10719
Bangalore,Gottigere,1,1,1,4,acept,furnished,900,18000,51,231,19182
Bangalore,Kengeri Satellite Town,1,1,1,26,acept,not furnished,1416,6900,177,90,8583
Bangalore,Kanakpura Road,2,1,1,5,not acept,not furnished,2895,6600,495,84,10074
Bangalore,Rajaji Nagar,3,2,0,1,acept,furnished,1650,14400,645,183,16878
Bangalore,Electronic City,2,2,5,-,acept,not furnished,0,20400,2001,309,22710
Chennai,Guduvancheri,2,1,1,-,not acept,not furnished,0,3120,831,42,3993
Bangalore,Tumkur Road,3,3,3,20,acept,not furnished,4800,14700,2751,189,22440
Bangalore,Ambedkar Nagar,1,1,1,9,acept,not furnished,1500,6600,105,84,8289
Bangalore,Hennur Road,3,3,2,1,acept,not furnished,2610,7890,1251,102,11853
Bangalore,Ramamurthy Nagar,3,2,2,4,acept,not furnished,1956,4800,246,63,7065
Bangalore,Jigani,4,7,8,-,acept,not furnished,0,27750,3501,420,31680
Chennai,Guduvancherry,3,4,3,11,acept,not furnished,7770,21000,1782,267,30810
Bangalore,Kalena Agrahara,2,1,0,8,not acept,not furnished,2292,5400,0,69,7761
Bangalore,Hebbal,3,4,2,16,acept,not furnished,9900,18000,1551,231,29682
Bangalore,Ramagondanahalli,1,1,0,2,acept,not furnished,1260,7566,75,96,8997
Bangalore,Ramamurthy Nagar,1,1,2,8,acept,furnished,2928,21000,969,267,25164
Bangalore,Chandapura,1,2,2,3,not acept,furnished,2850,10200,645,132,13827
Bangalore,Hebbal,4,3,2,-,acept,furnished,30,13500,300,204,14034
Chennai,Sholinganallur,2,1,1,-,acept,not furnished,1455,2400,180,33,4068
Bangalore,Hebbal Kempapura,3,2,2,7,acept,not furnished,2250,6600,252,84,9186
Bangalore,Kaggadasapura,1,1,1,14,not acept,not furnished,0,15000,0,192,15192
Bangalore,Hosur Road,2,2,2,24,acept,furnished,4950,22500,1200,288,28938
Bangalore,Kudlu Gate,3,2,0,-,acept,not furnished,1200,4500,288,60,6048
Bangalore,7th Phase JP Nagar,2,1,0,3,not acept,not furnished,486,4830,24,63,5403
Bangalore,Rajaji Nagar,4,4,3,2,acept,not furnished,3480,9000,1377,117,13974
Bangalore,Hiremath Layout,4,6,5,16,not acept,not furnished,15000,30150,8700,384,54240
Bangalore,Thirumenahalli,4,4,4,9,acept,not furnished,5400,19350,3420,246,28416
Bangalore,Vidyaranyapura,5,4,2,-,acept,furnished,0,22950,2160,345,25455
Bangalore,Haralur Road,3,2,1,6,not acept,not furnished,3738,16500,0,210,20448
Bangalore,Electronic City,3,1,0,3,acept,not furnished,0,5910,0,75,5985
Bangalore,Electronic City,3,2,2,11,acept,furnished,3717,23850,939,303,28809
Bangalore,Marathahalli,4,4,0,7,acept,furnished,8100,28800,1500,366,38760
Bangalore,Hennur Road,1,1,1,1,acept,not furnished,600,3900,201,51,4752
Chennai,Padappai,3,3,2,10,not acept,not furnished,8100,15300,1950,195,25545
Bangalore,Yelahanka,1,1,0,-,not acept,not furnished,0,2910,189,45,3144
Bangalore,Whitefield,2,1,0,3,acept,furnished,1116,4347,0,57,5520
Bangalore,Old Airport Road,3,3,0,1,not acept,not furnished,3300,7500,225,96,11121
Bangalore,Thanisandra,3,2,2,19,acept,not furnished,7719,30000,3363,381,41460
Bangalore,Jakkur,3,3,3,6,acept,not furnished,9000,39000,252,495,48750
Bangalore,Bommasandra,3,3,1,10,acept,furnished,4140,33000,1125,420,38700
Chennai,Medavakkam,2,1,1,6,not acept,not furnished,1494,3000,225,39,4758
Bangalore,Jakkur Plantation,5,4,2,-,acept,not furnished,2400,16800,2073,255,21528
Bangalore,Hosa Road,1,1,0,5,not acept,not furnished,1350,6210,240,81,7881
Chennai,Tambaram Sanatoruim,2,1,2,-,acept,not furnished,0,4200,396,66,4662
Bangalore,Brookefield,2,1,1,-,acept,not furnished,0,6000,135,93,6228
Bangalore,Kothannur,1,1,0,1,not acept,not furnished,0,2550,177,33,2760
Chennai,Madurantakam,4,5,4,-,acept,not furnished,0,9945,1074,150,11169
Chennai,Madipakkam,2,1,1,1,acept,not furnished,1416,2610,225,36,4287
Bangalore,Gottigere,1,2,0,17,acept,not furnished,2010,4200,0,54,6264
Bangalore,Bommasandra,3,4,3,10,not acept,not furnished,3900,8550,1377,111,13938
Bangalore,Koramangala,1,1,0,-,not acept,not furnished,0,3450,102,54,3606
Bangalore,Kadubeesanahalli,4,4,4,22,not acept,not furnished,14748,14100,9075,180,38100
Bangalore,Whitefield,2,3,0,-,not acept,not furnished,0,5220,252,81,5553
Chennai,Thoraipakkam,4,3,4,-,not acept,not furnished,2250,12000,1002,183,15435
Bangalore,Kothanur,1,1,1,13,not acept,not furnished,4452,12390,750,159,17751
Bangalore,Kathriguppe,3,2,3,-,acept,not furnished,0,7500,177,114,7791
Bangalore,Nagarbhavi,3,2,3,10,acept,not furnished,9000,25500,3252,324,38070
Chennai,Sembakkam,2,3,8,-,acept,not furnished,0,8790,1752,135,10677
Bangalore,CV Raman Nagar,5,6,5,7,not acept,furnished,14400,24000,6300,306,45000
Chennai,Guduvancheri,1,1,0,1,not acept,furnished,1920,6000,300,78,8298
Bangalore,Kothanur,2,1,1,13,acept,not furnished,1440,4830,0,63,6333
Bangalore,KR Puram,2,2,1,5,acept,not furnished,1140,5550,0,72,6762
Bangalore,2nd Stage Nagarbhavi,3,4,2,9,acept,not furnished,5400,16500,195,210,22305
Bangalore,Vidyaranyapura,2,4,3,-,acept,not furnished,0,18000,6000,273,24273
Bangalore,Mahadevpura,1,1,1,5,acept,not furnished,3432,7500,936,96,11964
Bangalore,Kanakpura Road,2,2,1,14,not acept,not furnished,1380,6600,60,84,8124
Chennai,Selaiyur,3,1,1,3,acept,not furnished,1641,3420,300,45,5406
Bangalore,Marathahalli,2,4,2,-,acept,not furnished,0,18000,1257,273,19530
Bangalore,Singasandra,1,1,1,5,not acept,furnished,1800,9000,0,117,10917
Bangalore,Singasandra,1,1,0,3,acept,not furnished,1050,5280,135,69,6534
Bangalore,Vijayanagar,1,1,0,2,not acept,not furnished,510,5040,204,66,5820
Bangalore,Yelahanka,1,1,0,3,acept,not furnished,900,3300,0,42,4242
Bangalore,Mysore Road,2,1,0,1,acept,not furnished,780,3375,0,45,4200
Bangalore,Bannerghatta Road,5,2,4,-,acept,not furnished,0,19500,2040,294,21834
Bangalore,Kothanur,2,1,0,2,not acept,not furnished,1713,5100,405,66,7284
Bangalore,Jakkur,3,3,4,-,acept,furnished,3,13500,0,204,13707
Bangalore,Vijayanagar,1,1,0,3,not acept,not furnished,510,5040,204,66,5820
Bangalore,Kambipura,3,4,4,13,not acept,furnished,3918,24000,1785,306,30000
Chennai,Kelambakkam,2,1,1,3,acept,not furnished,1032,2850,60,39,3981
Bangalore,Cunningham Road,4,5,6,-,not acept,not furnished,0,39000,0,588,39600
Bangalore,Kothanur,1,1,1,7,acept,not furnished,1800,10800,447,138,13185
Bangalore,Hebbal,3,4,5,-,acept,not furnished,0,12000,1500,183,13683
Bangalore,Kereguddadahalli,3,4,2,12,not acept,furnished,4050,33000,1500,420,38970
Bangalore,Kengeri Satellite Town,1,1,1,26,acept,not furnished,1560,6900,177,90,8727
Bangalore,Kaggalipura,3,2,1,11,not acept,not furnished,3348,14325,555,183,18411
Bangalore,Lakshminarayana Pura,2,2,0,-,acept,not furnished,0,5100,219,78,5397
Bangalore,7th Phase JP Nagar,2,2,0,-,not acept,not furnished,0,4950,252,75,5277
Bangalore,Anandapura,5,7,5,19,acept,not furnished,18600,25500,11100,324,55530
Bangalore,Yelahanka,1,1,0,6,acept,not furnished,1800,10440,426,135,12801
Bangalore,7th Phase JP Nagar,1,1,1,1,not acept,furnished,9000,16560,0,210,25770
Bangalore,Sector 2 HSR Layout,1,1,0,7,not acept,furnished,1065,8700,150,111,10026
Bangalore,Akshya Nagar,7,7,8,-,acept,not furnished,0,25500,4785,384,30660
Bangalore,Rajaji Nagar,2,2,2,3,acept,not furnished,5256,18600,1902,237,25995
Bangalore,Kanakpura Road,2,1,1,7,acept,furnished,2355,11400,336,147,14238
Bangalore,Thigalarapalya,3,3,3,17,acept,not furnished,6900,21000,2151,267,30330
Chennai,Kattupakkam,2,2,1,7,acept,not furnished,1440,2550,27,33,4050
Bangalore,Electronic City,2,2,1,3,acept,not furnished,897,5550,180,72,6699
Chennai,Kattupakkam,2,1,0,2,not acept,not furnished,1818,2340,180,30,4368
Bangalore,Nagavara,3,3,3,8,acept,not furnished,5100,10500,459,135,16194
Bangalore,Thanisandra,3,4,4,2,not acept,furnished,9900,36000,3501,459,49860
Bangalore,Bannerghatta Road,2,2,2,11,acept,not furnished,6600,12000,1500,153,20253
Chennai,Adyar,1,1,1,18,acept,furnished,1746,8100,405,105,10356
Bangalore,Marathahalli,4,3,4,9,acept,not furnished,7200,45000,0,573,52770
Bangalore,Ganga Nagar,3,2,1,17,acept,not furnished,2910,11580,339,147,14976
Chennai,Thaiyur,3,2,1,7,acept,not furnished,3000,7500,300,96,10896
Bangalore,Dasanapura,3,4,2,4,acept,not furnished,3108,24000,1752,306,29166
Bangalore,Balagere,3,3,8,-,acept,furnished,0,15045,1200,228,16473
Chennai,Kolathur,3,2,2,-,acept,not furnished,0,6750,45,102,6897
Chennai,Adyar,2,1,1,2,acept,not furnished,759,3600,60,48,4467
Bangalore,Tumkur Road,4,4,3,9,acept,furnished,4593,10530,2985,135,18243
Bangalore,Binny Pete,3,4,2,2,acept,not furnished,4083,8250,426,105,12864
Bangalore,Uttarahalli,3,2,1,-,acept,not furnished,0,6510,141,99,6750
Bangalore,Electronic City,3,2,2,-,not acept,not furnished,0,4800,450,75,5325
Bangalore,Yelahanka,1,1,0,-,not acept,not furnished,0,2340,51,36,2427
Chennai,Perungudi,1,1,0,5,acept,furnished,3900,5850,0,75,9825
Chennai,Choolaimedu,4,4,3,2,acept,not furnished,6900,18000,1251,231,26382
Bangalore,Babusapalaya,3,1,2,5,acept,not furnished,2055,4200,105,54,6414
Bangalore,Kothannur,1,1,0,1,not acept,not furnished,0,2550,105,33,2688
Bangalore,Bhoganhalli,3,2,1,10,not acept,not furnished,1488,4680,216,60,6444
Chennai,Kolapakkam,3,2,1,3,acept,not furnished,2760,3900,387,51,7098
Bangalore,TC Palaya,1,1,1,5,not acept,furnished,5250,3000,300,39,8589
Bangalore, Devarachikkanahalli,4,2,2,6,acept,not furnished,5460,14400,2001,183,22044
Bangalore,Banashankari,3,4,4,-,acept,not furnished,0,9300,8700,141,18141
Bangalore,KR Puram,2,1,1,-,acept,not furnished,1650,3750,0,48,5448
Bangalore,Sarjapur  Road,2,2,0,1,acept,not furnished,840,3000,414,39,4293
Chennai,Avadi,2,1,1,3,acept,not furnished,549,3570,0,48,4167
Bangalore,Madiwala,2,1,5,-,acept,furnished,0,6600,600,102,7302
Bangalore,Marathahalli,4,5,5,6,not acept,not furnished,10500,5970,32490,78,49050
Chennai,Thalambur,3,4,0,-,acept,not furnished,7800,23700,2700,357,34560
Bangalore,Haralur Road,3,4,3,6,acept,not furnished,10500,32220,201,411,43320
Chennai,Karapakkam,2,1,1,3,acept,not furnished,1260,3750,159,48,5217
Chennai,Thirupporur,2,2,2,1,acept,not furnished,2865,3000,234,39,6138
Bangalore,Gollarapalya Hosahalli,3,3,2,22,not acept,not furnished,4050,16305,1215,207,21777
Bangalore,Sultan Palaya,7,6,8,-,acept,not furnished,0,30000,5625,453,36090
Bangalore,Hennur Road,1,1,0,-,not acept,not furnished,0,3450,177,54,3681
Bangalore,Gottigere,1,1,0,4,acept,furnished,900,18000,51,231,19182
Bangalore,Electronic City,2,1,0,-,not acept,not furnished,0,6000,330,93,6423
Bangalore,Electronic City Phase II,1,1,0,-,not acept,not furnished,0,1950,75,30,2055
Bangalore,Hoodi,2,1,0,13,acept,not furnished,2700,6600,0,84,9384
Bangalore,Haralur Road,3,3,2,12,acept,not furnished,4950,12000,426,153,17529
Bangalore,Kaggadasapura,1,1,0,6,acept,not furnished,3870,4950,552,63,9435
Bangalore,Bisuvanahalli,5,3,8,-,acept,not furnished,0,42000,2751,633,45390
Bangalore,Bommanahalli,1,1,2,1,acept,not furnished,4950,24000,801,306,30060
Bangalore,Hennur Road,3,2,0,9,acept,not furnished,2700,6300,252,81,9333
Bangalore,Chandapura,2,1,1,3,acept,not furnished,1020,4320,0,57,5397
Bangalore,Bisuvanahalli,3,5,3,-,acept,not furnished,0,27000,0,408,27408
Bangalore,Sarjapur,1,1,0,5,acept,furnished,1806,5400,390,69,7665
Bangalore,Harlur,3,3,3,11,acept,furnished,9000,30000,3600,381,42990
Chennai,tambaram west,3,2,2,9,acept,not furnished,1704,4500,165,60,6429
Bangalore,Cunningham Road,4,4,6,-,acept,not furnished,0,28560,4002,432,33000
Bangalore,Lakshminarayana Pura,2,1,1,3,acept,not furnished,1410,4650,210,60,6330
Bangalore,Thanisandra,3,3,6,-,acept,not furnished,0,18000,1500,273,19773
Chennai,Teynampet,4,4,4,-,not acept,not furnished,0,12000,1251,183,13434
Bangalore,Electronic City Phase II,1,1,1,15,acept,not furnished,1500,4680,183,60,6423
Bangalore,Vishwapriya Layout,4,4,4,17,acept,not furnished,9300,45000,2919,573,57780
Chennai,Moolakadai,5,7,4,12,acept,not furnished,4800,24000,1500,306,30600
Bangalore,Vishveshwarya Layout,4,4,4,11,acept,furnished,14955,30600,8547,390,54480
Bangalore,Bisuvanahalli,4,5,0,11,acept,furnished,13800,26100,6900,426,47220
Chennai,Thiruninravur,1,1,1,1,acept,not furnished,2010,2460,270,33,4773
Bangalore,Sahakara Nagar,2,3,2,1,acept,furnished,3600,10680,1476,138,15894
Bangalore,Rachenahalli,1,1,1,17,acept,not furnished,1830,4800,267,63,6960
Bangalore,Begur Road,3,4,3,8,acept,not furnished,6063,18000,2988,231,27282
Bangalore,Sarjapur,1,1,0,-,acept,furnished,1806,5400,390,69,7665
Bangalore,Vittasandra,3,4,3,2,acept,not furnished,4470,8400,1500,108,14478
Bangalore,Kanakpura Road,2,2,1,3,acept,furnished,2700,17100,636,219,20655
Bangalore,AECS Layout,1,1,0,1,not acept,furnished,900,6300,150,81,7431
Bangalore,Indira Nagar,1,2,2,21,acept,furnished,3000,10500,0,135,13635
Bangalore,Kambipura,3,2,1,5,acept,not furnished,3000,9891,2850,126,15867
Bangalore,BTM 2nd Stage,3,2,1,-,acept,furnished,0,10500,390,159,11049
Chennai,Thoraipakkam OMR,2,2,1,1,acept,not furnished,1296,3600,381,48,5325
Bangalore,Jalahalli,2,1,1,9,acept,not furnished,1200,3270,75,42,4587
Bangalore,7th Phase JP Nagar,2,1,0,1,not acept,not furnished,300,3570,0,48,3918
Bangalore,Devanahalli,1,1,1,9,not acept,furnished,3849,22200,858,282,27189
Bangalore,Bisuvanahalli,4,6,4,4,acept,not furnished,16200,45000,525,573,62310
Bangalore,Kambipura,3,4,2,8,not acept,furnished,4011,15000,1827,192,21030
Bangalore,Electronic City,2,1,1,10,not acept,furnished,3285,8700,702,111,12798
Bangalore,Marathahalli,4,3,2,-,acept,furnished,0,45000,3120,678,48810
Bangalore,Jigani,3,6,0,-,acept,not furnished,0,19200,5001,291,24492
Bangalore,Kalyan nagar,1,1,0,-,not acept,not furnished,0,2610,0,42,2652
Bangalore,Budigere,2,2,1,7,acept,not furnished,1500,6000,237,78,7815
Chennai,Alandur,3,4,2,2,acept,not furnished,3528,11400,771,147,15846
Bangalore,Electronic City Phase II,1,1,1,13,acept,furnished,2100,9900,27,126,12153
Bangalore,Anandapura,5,8,6,-,acept,not furnished,0,39600,3690,597,43890
Bangalore,JP Nagar,4,4,3,17,acept,furnished,7200,19659,0,252,27111
